";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_existing_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.2;75.42;1.66
"2022-01-01 01:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.15;77.03;1.36
"2022-01-01 02:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.1;78.63;1.06
"2022-01-01 03:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.05;80.23;0.76
"2022-01-01 04:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;6.99;81.84;0.46
"2022-01-01 05:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;6.94;83.44;0.15
"2022-01-01 06:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;6.89;85.04;-0.15
"2022-01-01 07:00:00;;;;;;;";109.39341307634166;70.0;76.14;59.0;6.84;86.64;-0.45
"2022-01-01 08:00:00;;;;;;;";109.39341307634166;174.0;136.07;135.0;7.79;85.85;0.34
"2022-01-01 09:00:00;;;;;;;";109.39341307634166;287.0;254.77;187.0;8.61;82.75;0.41
"2022-01-01 10:00:00;;;;;;;";109.39341307634166;419.0;573.73;158.0;9.71;69.0;0.83
"2022-01-01 11:00:00;;;;;;;";109.39341307634166;138.0;0.0;138.0;9.98;66.45;1.17
"2022-01-01 12:00:00;;;;;;;";109.39341307634166;87.0;0.0;87.0;10.46;64.1;1.52
"2022-01-01 13:00:00;;;;;;;";109.39341307634166;102.0;0.0;102.0;10.55;61.75;1.72
"2022-01-01 14:00:00;;;;;;;";109.39341307634166;61.0;0.0;61.0;10.31;64.1;1.52
"2022-01-01 15:00:00;;;;;;;";109.39341307634166;23.0;12.57;22.0;10.06;69.0;1.52
"2022-01-01 16:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.48;71.5;1.38
"2022-01-01 17:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.2;74.2;1.24
"2022-01-01 18:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.95;79.85;0.9
"2022-01-01 19:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.86;82.85;0.48
"2022-01-01 20:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.22;79.9;0.34
"2022-01-01 21:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.82;82.85;0.48
"2022-01-01 22:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.68;89.1;0.55
"2022-01-01 23:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.72;85.95;0.48
"2022-01-02 00:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.61;89.1;0.62
"2022-01-02 01:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.58;85.9;0.76
"2022-01-02 02:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.92;99.4;0.9
"2022-01-02 03:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.12;99.4;0.97
"2022-01-02 04:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.12;99.4;1.03
"2022-01-02 05:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.62;99.4;1.17
"2022-01-02 06:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.47;99.4;1.24
"2022-01-02 07:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;7.81;95.8;1.31
"2022-01-02 08:00:00;;;;;;;";109.39341307634166;123.0;24.4;116.0;9.32;85.95;1.59
"2022-01-02 09:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.79;82.95;1.79
"2022-01-02 10:00:00;;;;;;;";109.39341307634166;233.0;50.45;210.0;10.16;86.0;1.72
"2022-01-02 11:00:00;;;;;;;";109.39341307634166;154.0;2.12;153.0;10.49;83.0;1.52
"2022-01-02 12:00:00;;;;;;;";109.39341307634166;61.0;0.0;61.0;10.66;86.05;1.24
"2022-01-02 13:00:00;;;;;;;";109.39341307634166;55.0;0.0;55.0;11.0;83.05;0.97
"2022-01-02 14:00:00;;;;;;;";109.39341307634166;97.0;25.44;91.0;11.18;86.1;0.83
"2022-01-02 15:00:00;;;;;;;";109.39341307634166;13.0;0.0;13.0;11.09;86.1;1.17
"2022-01-02 16:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;11.01;89.3;1.45
"2022-01-02 17:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.75;86.1;1.45
"2022-01-02 18:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.76;86.1;1.31
"2022-01-02 19:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.34;89.25;0.62
"2022-01-02 20:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.83;89.2;0.76
"2022-01-02 21:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.03;89.1;0.97
"2022-01-02 22:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.4;89.1;1.1
"2022-01-02 23:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.19;89.1;1.17
"2022-01-03 00:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.18;95.8;1.17
"2022-01-03 01:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.45;92.4;1.17
"2022-01-03 02:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.14;89.1;1.03
"2022-01-03 03:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.58;83.0;0.9
"2022-01-03 04:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.51;92.4;1.66
"2022-01-03 05:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;9.75;89.2;3.38
"2022-01-03 06:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;8.93;99.4;4.83
"2022-01-03 07:00:00;;;;;;;";109.39341307634166;48.0;13.85;46.0;10.1;95.9;5.52
"2022-01-03 08:00:00;;;;;;;";109.39341307634166;250.0;553.49;91.0;10.83;95.9;8.0
"2022-01-03 09:00:00;;;;;;;";109.39341307634166;42.0;0.0;42.0;10.9;89.3;8.14
"2022-01-03 10:00:00;;;;;;;";109.39341307634166;220.0;35.01;204.0;11.74;89.35;6.21
"2022-01-03 11:00:00;;;;;;;";109.39341307634166;264.0;76.19;228.0;12.25;86.25;6.97
"2022-01-03 12:00:00;;;;;;;";109.39341307634166;435.0;772.06;96.0;12.53;80.3;8.07
"2022-01-03 13:00:00;;;;;;;";109.39341307634166;275.0;328.55;157.0;12.33;80.3;8.83
"2022-01-03 14:00:00;;;;;;;";109.39341307634166;18.0;0.0;18.0;11.81;80.2;8.9
"2022-01-03 15:00:00;;;;;;;";109.39341307634166;23.0;11.87;22.0;11.15;83.05;8.76
"2022-01-03 16:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.72;83.05;8.14
"2022-01-03 17:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.52;86.05;8.07
"2022-01-03 18:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.65;86.05;8.21
"2022-01-03 19:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.84;80.1;7.86
"2022-01-03 20:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;11.01;77.2;8.0
"2022-01-03 21:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;11.05;77.2;7.52
"2022-01-03 22:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;11.16;74.45;7.17
"2022-01-03 23:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;11.01;74.45;6.48
"2022-01-04 00:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.9;74.45;6.0
"2022-01-04 01:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.6;77.15;5.45
"2022-01-04 02:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.61;77.15;5.17
"2022-01-04 03:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.73;77.2;5.03
"2022-01-04 04:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.89;77.2;0.0
"2022-01-04 05:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.71;80.1;0.0
"2022-01-04 06:00:00;;;;;;;";109.39341307634166;0.0;0.0;0.0;10.76;86.1;4.9
"2022-01-04 07:00:00;;;;;;;";109.39341307634166;11.0;0.0;11.0;10.79;86.1;4.48
"2022-01-04 08:00:00;;;;;;;";109.39341307634166;42.0;0.0;42.0;11.37;86.15;5.24
"2022-01-04 09:00:00;;;;;;;";109.39341307634166;71.0;0.0;71.0;10.74;92.55;4.9
