";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_existing_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;2.48;89.33;1.41
"2022-01-01 01:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;2.02;89.12;1.51
"2022-01-01 02:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;1.55;88.91;1.61
"2022-01-01 03:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;1.09;88.7;1.71
"2022-01-01 04:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;0.62;88.49;1.81
"2022-01-01 05:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;0.16;88.28;1.91
"2022-01-01 06:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-0.3;88.07;2.01
"2022-01-01 07:00:00;;;;;;;";41.22728907134768;19.0;0.0;19.0;-0.77;87.85;2.12
"2022-01-01 08:00:00;;;;;;;";41.22728907134768;179.0;605.69;55.0;1.42;78.9;1.38
"2022-01-01 09:00:00;;;;;;;";41.22728907134768;250.0;385.99;130.0;4.09;70.6;1.72
"2022-01-01 10:00:00;;;;;;;";41.22728907134768;310.0;391.99;162.0;4.96;56.05;2.9
"2022-01-01 11:00:00;;;;;;;";41.22728907134768;303.0;284.85;189.0;5.35;54.05;3.1
"2022-01-01 12:00:00;;;;;;;";41.22728907134768;377.0;787.23;80.0;5.43;54.05;3.17
"2022-01-01 13:00:00;;;;;;;";41.22728907134768;209.0;199.79;147.0;5.42;54.05;3.17
"2022-01-01 14:00:00;;;;;;;";41.22728907134768;163.0;451.13;71.0;5.1;56.05;3.03
"2022-01-01 15:00:00;;;;;;;";41.22728907134768;20.0;0.0;20.0;4.49;55.95;2.41
"2022-01-01 16:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;3.46;60.3;1.79
"2022-01-01 17:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;2.37;67.6;1.45
"2022-01-01 18:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;1.96;67.5;1.17
"2022-01-01 19:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;2.05;67.5;1.03
"2022-01-01 20:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;2.03;67.5;1.03
"2022-01-01 21:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;1.95;67.5;1.03
"2022-01-01 22:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;1.74;72.95;1.03
"2022-01-01 23:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;0.82;72.85;1.24
"2022-01-02 00:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;0.19;78.65;1.38
"2022-01-02 01:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-0.28;78.6;1.45
"2022-01-02 02:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-0.61;78.6;1.45
"2022-01-02 03:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-1.18;78.5;1.52
"2022-01-02 04:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-1.53;81.65;1.59
"2022-01-02 05:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-1.82;84.85;1.59
"2022-01-02 06:00:00;;;;;;;";41.22728907134768;0.0;0.0;0.0;-2.28;84.85;1.59
"2022-01-02 07:00:00;;;;;;;";41.22728907134768;21.0;0.0;21.0;-1.83;84.85;1.66
"2022-01-02 08:00:00;;;;;;;";41.22728907134768;182.0;629.11;53.0;-0.51;85.05;1.17
"2022-01-02 09:00:00;;;;;;;";41.22728907134768;293.0;670.84;84.0;2.48;73.1;1.1
"2022-01-02 10:00:00;;;;;;;";41.22728907134768;328.0;475.46;148.0;3.81;62.7;1.24
"2022-01-02 11:00:00;;;;;;;";41.22728907134768;371.0;587.68;135.0;4.48;55.95;1.59
"2022-01-02 12:00:00;;;;;;;";41.22728907134768;321.0;443.31;153.0;4.74;53.8;1.79
"2022-01-02 13:00:00;;;;;;;";41.22728907134768;263.0;464.31;118.0;4.86;51.8;1.86
"2022-01-02 14:00:00;;;;;;;";41.22728907134768;173.0;533.72;63.0;4.55;51.7;1.79
