";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;3.17;85.33;2.21
"2022-01-01 01:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;2.68;86.01;2.25
"2022-01-01 02:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;2.19;86.69;2.3
"2022-01-01 03:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;1.7;87.37;2.34
"2022-01-01 04:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;1.2;88.04;2.38
"2022-01-01 05:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;0.71;88.72;2.43
"2022-01-01 06:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;0.22;89.4;2.47
"2022-01-01 07:00:00;;;;;;;";114.52443386537928;0;41.0;295.77;21.0;-0.27;90.08;2.52
"2022-01-01 08:00:00;;;;;;;";114.52443386537928;0;190.0;634.14;56.0;2.15;88.65;2.0
"2022-01-01 09:00:00;;;;;;;";114.52443386537928;0;319.0;768.39;71.0;5.66;76.4;1.79
"2022-01-01 10:00:00;;;;;;;";114.52443386537928;0;404.0;819.07;81.0;7.83;66.05;1.66
"2022-01-01 11:00:00;;;;;;;";114.52443386537928;0;435.0;833.28;84.0;9.13;61.45;1.72
"2022-01-01 12:00:00;;;;;;;";114.52443386537928;0;411.0;819.32;82.0;9.82;59.35;1.86
"2022-01-01 13:00:00;;;;;;;";114.52443386537928;0;331.0;757.44;76.0;10.13;64.0;1.79
"2022-01-01 14:00:00;;;;;;;";114.52443386537928;0;203.0;588.8;67.0;10.05;66.45;1.66
"2022-01-01 15:00:00;;;;;;;";114.52443386537928;0;45.0;119.95;34.0;9.48;71.5;1.72
"2022-01-01 16:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;8.26;74.05;1.93
"2022-01-01 17:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;6.92;79.55;2.21
"2022-01-01 18:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;5.87;82.5;2.41
"2022-01-01 19:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;4.8;85.55;2.28
"2022-01-01 20:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;4.19;85.5;2.34
"2022-01-01 21:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;3.81;85.5;2.41
"2022-01-01 22:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;3.61;85.45;2.48
"2022-01-01 23:00:00;;;;;;;";114.52443386537928;0;0.0;0.0;0.0;3.46;85.45;2.48
