";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;0.38;93.22;1.37
"2022-01-01 01:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-0.12;94.63;1.35
"2022-01-01 02:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-0.62;96.05;1.33
"2022-01-01 03:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.12;97.47;1.31
"2022-01-01 04:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.62;98.89;1.29
"2022-01-01 05:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-2.12;100.0;1.27
"2022-01-01 06:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-2.62;100.0;1.25
"2022-01-01 07:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-3.12;100.0;1.23
"2022-01-01 08:00:00;;;;;;;";1083.618208278977;0;85.0;121.71;66.0;-0.81;100.0;1.59
"2022-01-01 09:00:00;;;;;;;";1083.618208278977;0;139.0;71.26;120.0;-0.02;99.4;1.38
"2022-01-01 10:00:00;;;;;;;";1083.618208278977;0;142.0;17.64;136.0;0.98;95.65;1.24
"2022-01-01 11:00:00;;;;;;;";1083.618208278977;0;169.0;26.92;159.0;1.68;95.65;1.24
"2022-01-01 12:00:00;;;;;;;";1083.618208278977;0;171.0;39.02;157.0;2.56;92.15;1.31
"2022-01-01 13:00:00;;;;;;;";1083.618208278977;0;155.0;62.78;136.0;3.0;88.7;1.24
"2022-01-01 14:00:00;;;;;;;";1083.618208278977;0;155.0;367.05;79.0;3.1;88.7;0.9
"2022-01-01 15:00:00;;;;;;;";1083.618208278977;0;36.0;114.69;27.0;2.82;88.7;0.69
"2022-01-01 16:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;2.0;95.65;0.69
"2022-01-01 17:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;1.36;95.65;0.69
"2022-01-01 18:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;1.25;99.35;0.55
"2022-01-01 19:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;0.54;99.4;0.62
"2022-01-01 20:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;0.1;99.4;0.28
"2022-01-01 21:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-0.21;99.4;0.34
"2022-01-01 22:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-0.57;99.4;0.41
"2022-01-01 23:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.03;99.4;0.41
"2022-01-02 00:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.08;99.4;0.69
"2022-01-02 01:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.28;100.0;0.69
"2022-01-02 02:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.32;100.0;0.62
"2022-01-02 03:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.35;100.0;0.62
"2022-01-02 04:00:00;;;;;;;";1083.618208278977;0;0.0;0.0;0.0;-1.38;100.0;0.55
