";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.86;89.86;0.64
"2022-01-01 01:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.83;91.93;0.63
"2022-01-01 02:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.8;94.0;0.63
"2022-01-01 03:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.77;96.08;0.63
"2022-01-01 04:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.74;98.15;0.63
"2022-01-01 05:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.7;100.0;0.63
"2022-01-01 06:00:00;;;;;;;";0.0;0.0;0.0;0.0;6.67;100.0;0.62
"2022-01-01 07:00:00;;;;;;;";0.0;19.0;36.04;17.0;6.64;100.0;0.62
"2022-01-01 08:00:00;;;;;;;";0.0;104.0;71.07;89.0;8.66;99.4;0.83
"2022-01-01 09:00:00;;;;;;;";0.0;163.0;50.7;146.0;10.53;92.5;0.9
"2022-01-01 10:00:00;;;;;;;";0.0;172.0;14.3;166.0;12.6;86.25;1.31
"2022-01-01 11:00:00;;;;;;;";0.0;124.0;0.0;124.0;13.7;80.4;1.52
"2022-01-01 12:00:00;;;;;;;";0.0;410.0;609.99;136.0;14.44;80.45;1.52
"2022-01-01 13:00:00;;;;;;;";0.0;254.0;173.36;186.0;14.94;77.75;1.31
"2022-01-01 14:00:00;;;;;;;";0.0;196.0;233.18;128.0;14.65;80.45;0.83
"2022-01-01 15:00:00;;;;;;;";0.0;82.0;129.73;62.0;14.35;83.4;0.83
"2022-01-01 16:00:00;;;;;;;";0.0;0.0;0.0;0.0;13.68;83.35;1.03
"2022-01-01 17:00:00;;;;;;;";0.0;0.0;0.0;0.0;12.81;86.3;1.1
"2022-01-01 18:00:00;;;;;;;";0.0;0.0;0.0;0.0;11.82;92.6;1.17
"2022-01-01 19:00:00;;;;;;;";0.0;0.0;0.0;0.0;10.73;92.55;1.1
"2022-01-01 20:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.8;95.9;1.24
"2022-01-01 21:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.26;99.4;1.31
"2022-01-01 22:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.14;100.0;1.38
"2022-01-01 23:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.36;99.4;1.38
"2022-01-02 00:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.68;99.4;1.17
"2022-01-02 01:00:00;;;;;;;";0.0;0.0;0.0;0.0;9.65;99.4;1.03
