";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.55;66.62;3.83
"2022-01-01 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.49;67.0;3.79
"2022-01-01 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.43;67.38;3.75
"2022-01-01 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.37;67.77;3.72
"2022-01-01 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.31;68.15;3.68
"2022-01-01 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.26;68.54;3.64
"2022-01-01 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.2;68.92;3.6
"2022-01-01 07:00:00;;;;;;;";0.0;0;28.0;0.0;28.0;9.14;69.3;3.57
"2022-01-01 08:00:00;;;;;;;";0.0;0;110.0;18.61;105.0;10.8;66.55;3.45
"2022-01-01 09:00:00;;;;;;;";0.0;0;225.0;98.43;187.0;11.61;62.0;3.72
"2022-01-01 10:00:00;;;;;;;";0.0;0;460.0;752.9;113.0;12.44;59.85;4.21
"2022-01-01 11:00:00;;;;;;;";0.0;0;508.0;844.31;96.0;13.15;53.7;4.62
"2022-01-01 12:00:00;;;;;;;";0.0;0;482.0;842.12;90.0;13.59;53.85;4.76
"2022-01-01 13:00:00;;;;;;;";0.0;0;400.0;812.73;79.0;13.74;53.85;4.9
"2022-01-01 14:00:00;;;;;;;";0.0;0;257.0;650.77;74.0;13.57;55.9;4.97
"2022-01-01 15:00:00;;;;;;;";0.0;0;95.0;386.47;44.0;13.08;60.05;4.62
"2022-01-01 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.15;64.45;4.41
"2022-01-01 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.52;69.25;4.55
"2022-01-01 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.05;71.75;4.48
"2022-01-01 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.71;77.15;4.62
"2022-01-01 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.46;77.15;4.69
"2022-01-01 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.3;79.95;4.55
"2022-01-01 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.2;79.95;4.41
"2022-01-01 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.15;79.95;4.41
"2022-01-02 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.14;79.95;4.48
"2022-01-02 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.22;82.95;4.34
"2022-01-02 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.19;82.95;4.07
"2022-01-02 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.12;86.0;3.86
"2022-01-02 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.01;86.0;3.72
"2022-01-02 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.01;86.0;3.72
"2022-01-02 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.12;86.0;3.66
"2022-01-02 07:00:00;;;;;;;";0.0;0;84.0;403.85;37.0;10.15;86.0;3.45
"2022-01-02 08:00:00;;;;;;;";0.0;0;248.0;662.27;70.0;11.2;86.1;3.17
"2022-01-02 09:00:00;;;;;;;";0.0;0;383.0;763.1;88.0;12.66;80.3;3.59
"2022-01-02 10:00:00;;;;;;;";0.0;0;363.0;316.16;217.0;13.72;72.2;4.48
"2022-01-02 11:00:00;;;;;;;";0.0;0;446.0;537.54;183.0;14.51;62.65;4.76
"2022-01-02 12:00:00;;;;;;;";0.0;0;383.0;370.35;210.0;14.96;58.25;4.9
"2022-01-02 13:00:00;;;;;;;";0.0;0;311.0;332.57;179.0;15.08;52.25;4.83
"2022-01-02 14:00:00;;;;;;;";0.0;0;263.0;677.56;71.0;14.88;54.1;4.69
"2022-01-02 15:00:00;;;;;;;";0.0;0;98.0;409.64;43.0;14.25;58.1;4.21
"2022-01-02 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.13;62.3;3.86
"2022-01-02 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.2;69.35;3.66
"2022-01-02 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.58;71.85;3.45
"2022-01-02 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.63;77.3;3.38
"2022-01-02 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.19;80.1;3.17
"2022-01-02 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.82;80.05;3.03
"2022-01-02 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.42;82.95;2.9
"2022-01-02 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.14;82.95;2.76
"2022-01-03 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.9;85.95;2.69
"2022-01-03 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.63;82.9;2.69
"2022-01-03 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.44;82.9;2.76
"2022-01-03 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.39;85.95;2.83
"2022-01-03 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.26;85.95;2.83
"2022-01-03 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.04;85.95;2.76
"2022-01-03 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.94;85.95;2.69
"2022-01-03 07:00:00;;;;;;;";0.0;0;84.0;404.06;37.0;8.94;85.95;2.83
"2022-01-03 08:00:00;;;;;;;";0.0;0;248.0;661.63;70.0;10.13;82.95;2.62
"2022-01-03 09:00:00;;;;;;;";0.0;0;384.0;761.86;89.0;11.72;77.3;2.76
"2022-01-03 10:00:00;;;;;;;";0.0;0;469.0;788.67;104.0;12.95;72.05;3.31
"2022-01-03 11:00:00;;;;;;;";0.0;0;461.0;597.15;168.0;13.87;67.15;3.93
