";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-01 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.9;90.39;2.17
"2022-01-01 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.4;91.11;2.17
"2022-01-01 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-0.11;91.82;2.17
"2022-01-01 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-0.61;92.54;2.17
"2022-01-01 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.12;93.25;2.17
"2022-01-01 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.62;93.97;2.17
"2022-01-01 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.13;94.68;2.17
"2022-01-01 07:00:00;;;;;;;";0.0;0;96.0;490.36;36.0;-2.63;95.4;2.17
"2022-01-01 08:00:00;;;;;;;";0.0;0;243.0;675.72;67.0;1.7;92.1;1.38
"2022-01-01 09:00:00;;;;;;;";0.0;0;368.0;798.09;78.0;5.84;76.5;1.45
"2022-01-01 10:00:00;;;;;;;";0.0;0;431.0;782.92;99.0;7.56;65.95;1.66
"2022-01-01 11:00:00;;;;;;;";0.0;0;448.0;791.52;101.0;8.51;59.0;1.52
"2022-01-01 12:00:00;;;;;;;";0.0;0;410.0;784.4;92.0;9.09;52.7;1.52
"2022-01-01 13:00:00;;;;;;;";0.0;0;321.0;754.57;74.0;9.33;48.95;1.52
"2022-01-01 14:00:00;;;;;;;";0.0;0;182.0;587.07;59.0;9.2;48.8;1.45
"2022-01-01 15:00:00;;;;;;;";0.0;0;22.0;50.03;19.0;8.38;52.6;0.97
"2022-01-01 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.42;63.25;0.97
"2022-01-01 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;3.86;70.6;1.45
