# Renewables.ninja Heating & cooling demand (Point API) - 41.893, 12.483 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Paris, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": "true", "header": "true", "lat": "41.8933203", "lon": "12.4829321", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "0.3", "cooling_power": "0.15", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "true"}}
time,local_time,total_demand,heating_demand,cooling_demand
2023-01-01 00:00,2023-01-01 01:00,0.141,0.141,0
2023-01-01 01:00,2023-01-01 02:00,0.150,0.150,0
2023-01-01 02:00,2023-01-01 03:00,0.158,0.158,0
2023-01-01 03:00,2023-01-01 04:00,0.164,0.164,0
2023-01-01 04:00,2023-01-01 05:00,0.171,0.171,0
2023-01-01 05:00,2023-01-01 06:00,0.182,0.182,0
2023-01-01 06:00,2023-01-01 07:00,0.197,0.197,0
2023-01-01 07:00,2023-01-01 08:00,0.210,0.210,0
2023-01-01 08:00,2023-01-01 09:00,0.218,0.218,0
2023-01-01 09:00,2023-01-01 10:00,0.222,0.222,0
2023-01-01 10:00,2023-01-01 11:00,0.221,0.221,0
2023-01-01 11:00,2023-01-01 12:00,0.220,0.220,0
2023-01-01 12:00,2023-01-01 13:00,0.219,0.219,0
2023-01-01 13:00,2023-01-01 14:00,0.216,0.216,0
2023-01-01 14:00,2023-01-01 15:00,0.215,0.215,0
2023-01-01 15:00,2023-01-01 16:00,0.221,0.221,0
2023-01-01 16:00,2023-01-01 17:00,0.238,0.238,0
2023-01-01 17:00,2023-01-01 18:00,0.265,0.265,0
2023-01-01 18:00,2023-01-01 19:00,0.276,0.276,0
2023-01-01 19:00,2023-01-01 20:00,0.269,0.269,0
2023-01-01 20:00,2023-01-01 21:00,0.265,0.265,0
2023-01-01 21:00,2023-01-01 22:00,0.275,0.275,0
2023-01-01 22:00,2023-01-01 23:00,0.287,0.287,0
2023-01-01 23:00,2023-01-02 00:00,0.292,0.292,0
2023-01-02 00:00,2023-01-02 01:00,0.306,0.306,0
2023-01-02 01:00,2023-01-02 02:00,0.317,0.317,0
2023-01-02 02:00,2023-01-02 03:00,0.324,0.324,0
2023-01-02 03:00,2023-01-02 04:00,0.329,0.329,0
2023-01-02 04:00,2023-01-02 05:00,0.335,0.335,0
