# General
## Title
### Hydropower Generation (Reservoir); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL00,AT00,BA00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,ME00,MK00,NOM1,NON1,NOS1,NOS2,NOS3,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00
2024-01-01,161661.92559648713,96532.48271770868,95082.49550973282,32513.78510008481,240893.0075982071,30569.857593832778,16961.01049874765,1089209.2533839575,298806.7495279386,426946.00552774646,59096.28860060573,122568.37245685513,6671.8489055943965,14831.082331351898,30651.534612767337,180148.53865223748,6120.494022572515,476.942477426655,448.6244556093589,53856.88689640978,17890.185007163647,291195.31110843684,487205.5548957759,327266.0802554685,1015698.175119928,515881.4431914017,1990.3954842321973,205821.024047738,63904.17190677921,27279.19779871017,479692.8924355065,890412.4921244289,259343.6331430552,44182.25669895191,32110.98909681655,651.809311662681,407647.5465463446
2024-01-08,156178.36939825906,97783.68384511676,92156.32790740304,38526.61619559631,340727.8242563149,27226.52717355546,23079.687036307765,1131623.617841764,294901.9762981238,495874.8742670487,63675.19881605061,118492.26870410664,6534.358939843054,12774.699130447672,30344.002664367115,173180.5491411704,5922.53564174498,495.05736742327633,289.6369879140002,47271.66592209479,25542.77208117126,248314.8204140218,414374.20667800086,305160.17411471164,951016.3517085962,431076.60530199663,1418.3518354832163,218073.8751932223,66389.83533618947,25711.20523788961,454803.4391643795,848351.5983187903,259776.9865291202,43340.63927194096,25769.708938982327,621.7324306705824,474098.6001621384
2024-01-15,183486.8900821329,99654.90518164785,98093.18905976368,38993.49213160712,363225.80366409465,29152.11964968793,23264.46811540204,1264966.884700578,283949.23876303714,508015.6379828588,58363.67418384958,128219.75616229555,6555.6838778839865,13891.317973307754,35619.57540732374,168743.69061132817,6730.820947955377,552.4699604955608,309.4692075638266,51989.21863395575,19970.458109112205,294202.5767440026,467255.28319774405,313824.8514313195,956739.6961814868,452261.6755783045,1100.0392103546596,327605.6468327232,62107.25358269389,25689.259459761543,473645.4666353932,835894.6876280062,243471.4877734608,42748.2305698956,24081.45995423416,737.9734470412053,546864.4917836367
2024-01-22,169366.61158270645,89224.71426850007,94540.3667655179,31013.24511211333,247669.43786949213,29310.827288090262,18985.41771767205,1188179.4965024677,270964.2422502822,456229.0191810854,60510.81932481604,126252.14705420176,6012.317399056675,10667.071229571437,30793.09366711669,163941.19677759253,5727.632646217985,527.1515942947383,394.7530155736228,45451.05936805972,26699.814829569343,249466.3348695384,412274.8267909029,287171.6578842329,810462.9572768924,341967.8661253255,1094.1236503939272,315294.9580807049,61010.63889989336,26168.771373406424,459444.9397628504,786484.8014567196,262381.5378632704,45777.34742634985,24306.81029662227,605.865428988748,604598.8373927481
2024-01-29,152447.34490073012,94460.95810864524,87484.8928703908,29860.285538134056,256147.1191811896,28713.343966219592,18094.10286068075,1120338.1147201282,271767.3517257574,430114.532414618,63987.44372481907,117516.8917510102,6155.765417729341,8304.350506865481,27775.559960496004,160897.78969334517,5332.779751229952,526.4356633408252,471.6360196108129,40082.17194990603,23764.70562284173,252507.9630384021,389371.2300706261,291361.4077189765,805374.9483337185,360755.1795728757,1053.0629970360285,281321.83792205615,57800.650474087895,24576.07583325329,428141.4392628949,744040.0608055588,266203.7742313267,47869.18534391021,23196.79248538289,710.1889315652845,624839.4837704402
2024-02-05,151493.63320574228,92370.95128929216,93553.9038874488,26412.789437431245,249507.8333334165,29659.401313580835,17250.419418008674,1181456.208358685,270855.89417793765,414176.052055536,52594.54373464962,117141.67566242896,6435.756437078593,10788.660345926022,35148.75773483803,162829.3419477307,5441.476068689103,621.1389294119786,402.8240864336215,38964.87928329332,16408.60678791897,295792.2418965677,462017.1828126517,327072.4971802396,1045837.7776256016,476238.01768233033,1611.1886243282236,325908.71085669834,60836.99939343039,20790.187157760243,460146.57314926345,836041.5534911283,256513.58242448448,47595.77929786028,28073.41128643931,611.3674568697793,487985.2250396853
2024-02-12,137187.71453350742,90856.5401566451,91275.14052504656,26848.448272557504,257826.9157244413,27696.413298152336,17568.021351962343,1178618.7751452562,254502.5407025732,374424.3993557727,50240.09459216271,108469.83134047216,6382.586546418914,9178.58168665277,30048.229021185376,153865.77901873286,5183.75825536681,622.550620812773,475.5932353086573,36202.11053074037,16130.14348934241,283318.64095349616,477889.202076681,321730.9659694277,938079.6580322466,394733.09452654247,1271.583858692067,285253.5940987083,60608.30494973477,20917.020348429,470495.79724292125,861280.3532631783,267089.3816161939,48182.44684021967,26626.17411166728,712.0788558764915,572018.715343237
2024-02-19,127780.24965417694,82468.48213006325,95165.83025398468,24575.279475893767,238495.12784262656,23073.45001999008,17575.511452271705,1197798.377133104,255368.43629068887,412239.36470730137,49614.48051754086,108584.62964516482,7564.809790825177,9690.19783239671,33487.92083335863,148246.36763710293,6531.072833605251,628.1614965811875,368.8436381453338,36251.008193948415,16084.468726163232,244142.6933758474,431551.2099902053,290293.4215065402,832651.1675502104,359089.13750782365,1369.3103938850634,306480.00388591003,65986.0372116715,19290.18999659765,442707.34265784005,730906.9406484648,271047.2214542086,47426.77381002494,27657.660497111123,766.1894714186967,531716.6113741816
2024-02-26,123429.89827064394,86090.27488432602,89720.41059512597,23784.95461218518,234071.6677327957,22257.40076770892,17941.95616787626,1378595.6739783688,245709.2147892044,433971.5233960526,53846.10390343767,103142.76635645187,9723.7973555244,20393.49433281277,44348.77724009528,161274.35911260112,8065.360431935322,1736.753319348668,390.0460887023216,31914.55437573204,19266.452451179684,236581.2637295751,375185.5668277167,281429.37519000174,826459.7499101084,349009.2513015326,1188.4597447215328,308959.50249655667,70628.0136781356,15600.19808257435,417784.48069580167,711991.8979925853,278518.16860793764,47085.46707560591,28160.71194154859,769.3246894996936,517860.2749904103
2024-03-04,126386.55142411668,82081.1780013174,91729.2956656291,23561.61536620424,250131.01183992045,20701.70533458497,17614.450754713343,1493322.2675585935,258249.9294552873,465420.552967124,54580.806021894,106773.58315239366,10589.261234768515,21389.931085403787,52328.88290113393,198629.60125352608,8768.612944778974,2695.8557827588224,398.07600083130814,32303.816331361744,22419.583106652004,217679.37968066204,416715.9140731312,297384.62638375384,902200.87359682,345272.4366881233,1017.2950977821404,354419.253505178,71117.60138010723,13713.75492298162,396738.6651359133,690193.3299290305,260920.2517340495,46267.89904922228,28633.21761682968,777.4621356248698,508896.0138487847
